,distance_horizontal,distance_path,distance_vertical,distance_vertical_abs,distance_vertical_neg,distance_vertical_pos,duration,end_location_lat,end_location_lng,mode,start_location_lat,start_location_lng,isWalking,isBicycling,resid_combi_abs,resid_horiz
924,2262.0,4141.0,-10.792144775390623,10.792144775390623,10.792144775390623,0.0,694.0,48.500476899999995,9.0458409,driving,48.52028079999999,9.0528069,False,False,122.81674516276462,91.67719420016044
925,2077.0,3632.0,-11.5396728515625,11.5396728515625,11.5396728515625,0.0,604.0,48.5019939,9.0470851,driving,48.52028079999999,9.0528069,False,False,78.01120448579604,50.938785302269366
926,1970.0,3706.0,-13.6864013671875,13.6864013671875,13.6864013671875,0.0,625.0,48.5031217,9.046172,driving,48.52028079999999,9.0528069,False,False,123.55182381459872,100.4306244802458
927,1970.0,3706.0,-13.6864013671875,13.6864013671875,13.6864013671875,0.0,625.0,48.5031217,9.046172,driving,48.52028079999999,9.0528069,False,False,123.55182381459872,100.4306244802458
928,1664.0,2959.0,-12.314605712890625,12.314605712890625,12.314605712890625,0.0,538.0,48.5067365,9.0432336,driving,48.52028079999999,9.0528069,False,False,113.73843498036229,94.91195895184217
929,1494.0,3078.0,-12.471832275390625,12.471832275390625,12.471832275390625,0.0,539.0,48.5072562,9.047849000000001,driving,48.52028079999999,9.0528069,False,False,156.76248505579224,141.17936699161788
930,1486.0,3141.0,-13.129364013671818,13.129364013671818,13.129364013671818,0.0,576.0,48.508084000000004,9.0445752,driving,48.52028079999999,9.0528069,False,False,195.13375336338981,180.30959795819558
931,1284.0,2915.0,-14.0145263671875,14.0145263671875,14.0145263671875,0.0,500.0,48.50953819999999,9.0464258,driving,48.52028079999999,9.0528069,False,False,168.41691913554968,158.09792986428204
932,1160.0,2779.0,-13.87408447265625,13.87408447265625,13.87408447265625,0.0,477.0,48.510758,9.0463869,driving,48.52028079999999,9.0528069,False,False,176.30769296028745,168.1165098462361
933,1043.0,3097.0,-13.5023193359375,13.5023193359375,13.5023193359375,0.0,499.0,48.5122034,9.0456281,driving,48.52028079999999,9.0528069,False,False,227.67776606655138,221.27113773243474
934,896.0,1886.0,-9.800933837890623,9.800933837890623,9.800933837890623,0.0,349.0,48.513556799999996,9.0461276,driving,48.52028079999999,9.0528069,False,False,117.59503186613557,110.4141317432996
935,803.0,1755.0,-10.57537841796875,10.57537841796875,10.57537841796875,0.0,335.0,48.514669500000004,9.0459675,driving,48.52028079999999,9.0528069,False,False,125.94260585358029,121.17806672976516
936,722.0,2385.0,-15.339691162109432,15.339691162109432,15.339691162109432,0.0,415.0,48.51585619999999,9.0456597,driving,48.52028079999999,9.0528069,False,False,221.5923508660333,222.7466552663642
937,610.0,2776.0,-4.258270263671818,4.258270263671818,4.258270263671818,0.0,501.0,48.517396999999995,9.0457765,driving,48.52028079999999,9.0528069,False,False,345.7102668028251,338.56988879845176
938,548.0,1247.0,24.43316650390625,24.43316650390625,0.0,24.43316650390625,256.0,48.518643,9.0458056,driving,48.52028079999999,9.0528069,False,False,97.27442960792575,110.0791787894288
939,517.0,618.0,-0.02267456054681816,0.02267456054681816,0.02267456054681816,0.0,200.0,48.51991470000001,9.0458366,driving,48.52028079999999,9.0528069,False,False,71.7303597239713,62.333823784917314
940,511.0,536.0,-5.841400146484432,5.841400146484432,5.841400146484432,0.0,179.0,48.520610299999994,9.0459019,driving,48.52028079999999,9.0528069,False,False,46.792012896924916,42.931497009850574
941,570.0,839.0,-5.123382568359432,5.123382568359432,5.123382568359432,0.0,232.0,48.52241,9.045789,driving,48.52028079999999,9.0528069,False,False,85.8259502262789,80.22104363134017
